um.driver: unified_memory
um.executed_before: no
um.payload_mib: 1024
um.payload_bytes: 1073741824
um.rounds: 8
um.mode: rewrite
um.contention: 0
um.hold_bytes: 0
um.policy.default_route: copy_staged
um.policy.enable_level: trainer
um.policy.evidence.copy_staged: none
um.policy.evidence.copy_direct: none
um.policy.evidence.map_write: none
um.policy.evidence.host_direct: none
um.policy.evidence.wrapped_host_buffer: none
um.policy.role.bins.host_direct: source_not_device_visible
um.policy.role.grad.host_direct: no_evidence
um.policy.role.hess.host_direct: no_evidence
um.policy.role.hist_out.host_direct: device_written_atomics
um.policy.role.row_seed.host_direct: no_evidence
um.policy.role.valid_bins.host_direct: source_not_device_visible
um.policy.role.predict_out.host_direct: no_evidence
um.policy.role.batch_bins.host_direct: no_evidence
um.marker.begin_ns: 434118279843000
um.accelerator: present
um.device.multiprocessors: 10
um.device.max_threads_per_block: 1024
um.copy_staged.status: ok
um.copy_staged.comparable: 1
um.copy_staged.input_route: copy_staged
um.copy_staged.out_route: copy
um.copy_staged.mode: rewrite
um.copy_staged.payload_bytes: 1073741824
um.copy_staged.alloc_ns: 188000
um.copy_staged.round0_write_ns: 450073000
um.copy_staged.round0_publish_ns: 801000
um.copy_staged.round0_total_ns: 957758000
um.copy_staged.write_ns: 286413285
um.copy_staged.publish_ns: 43714
um.copy_staged.kernel_ns: 24679000
um.copy_staged.sync_ns: 13805714
um.copy_staged.readback_ns: 246857
um.copy_staged.contend_ns: 0
um.copy_staged.round_mean_ns: 325188571
um.copy_staged.round_min_ns: 302498000
um.copy_staged.host_alloc_bytes: 1073741829
um.copy_staged.device_alloc_bytes: 1073741828
um.copy_staged.allocated_bytes: 2147483657
um.copy_staged.copy_bytes_issued_total: 8589934592
um.copy_staged.enqueues_copy: 1
um.copy_staged.drains_per_round: 2
um.copy_staged.checksum: -275014041
um.copy_staged.expected: -275014041
um.copy_staged.round0_over_steady: 2.9452388103762726
um.copy_staged.steady_ns_per_byte: 0.30285545717924833
um.copy_direct.status: ok
um.copy_direct.comparable: 1
um.copy_direct.input_route: copy_direct
um.copy_direct.out_route: copy
um.copy_direct.mode: rewrite
um.copy_direct.payload_bytes: 1073741824
um.copy_direct.alloc_ns: 327895000
um.copy_direct.round0_write_ns: 326974000
um.copy_direct.round0_publish_ns: 85685000
um.copy_direct.round0_total_ns: 459448000
um.copy_direct.write_ns: 267994285
um.copy_direct.publish_ns: 26293000
um.copy_direct.kernel_ns: 106714
um.copy_direct.sync_ns: 25479714
um.copy_direct.readback_ns: 560000
um.copy_direct.contend_ns: 0
um.copy_direct.round_mean_ns: 320433714
um.copy_direct.round_min_ns: 308569000
um.copy_direct.host_alloc_bytes: 1073741829
um.copy_direct.device_alloc_bytes: 1073741828
um.copy_direct.allocated_bytes: 2147483657
um.copy_direct.copy_bytes_issued_total: 8589934592
um.copy_direct.enqueues_copy: 1
um.copy_direct.drains_per_round: 2
um.copy_direct.checksum: -275014041
um.copy_direct.expected: -275014041
um.copy_direct.round0_over_steady: 1.4338316473153634
um.copy_direct.steady_ns_per_byte: 0.2984271515160799
um.map_write.status: ok
um.map_write.comparable: 1
um.map_write.input_route: map_write
um.map_write.out_route: copy
um.map_write.mode: rewrite
um.map_write.payload_bytes: 1073741824
um.map_write.alloc_ns: 84000
um.map_write.round0_write_ns: 780945000
um.map_write.round0_publish_ns: 24920000
um.map_write.round0_total_ns: 819854000
um.map_write.write_ns: 437628714
um.map_write.publish_ns: 24645000
um.map_write.kernel_ns: 76857
um.map_write.sync_ns: 12827000
um.map_write.readback_ns: 284142
um.map_write.contend_ns: 0
um.map_write.round_mean_ns: 475461714
um.map_write.round_min_ns: 412308000
um.map_write.host_alloc_bytes: 4
um.map_write.device_alloc_bytes: 1073741828
um.map_write.allocated_bytes: 1073741832
um.map_write.copy_bytes_issued_total: 0
um.map_write.enqueues_copy: 0
um.map_write.drains_per_round: 2
um.map_write.checksum: -275014041
um.map_write.expected: -275014041
um.map_write.round0_over_steady: 1.7243323192159274
um.map_write.steady_ns_per_byte: 0.4428082276135683
um.host_direct.status: wrong
um.host_direct.detail: kernel took a host-buffer pointer but read the wrong bytes
um.host_direct.comparable: 0
um.host_direct.input_route: host_direct
um.host_direct.out_route: copy
um.host_direct.mode: rewrite
um.host_direct.payload_bytes: 1073741824
um.host_direct.alloc_ns: 76000
um.host_direct.round0_write_ns: 338204000
um.host_direct.round0_publish_ns: 0
um.host_direct.round0_total_ns: 377167000
um.host_direct.write_ns: 0
um.host_direct.publish_ns: 0
um.host_direct.kernel_ns: 0
um.host_direct.sync_ns: 0
um.host_direct.readback_ns: 0
um.host_direct.contend_ns: 0
um.host_direct.round_mean_ns: 0
um.host_direct.round_min_ns: 0
um.host_direct.host_alloc_bytes: 1073741828
um.host_direct.device_alloc_bytes: 4
um.host_direct.allocated_bytes: 1073741832
um.host_direct.copy_bytes_issued_total: 0
um.host_direct.enqueues_copy: 0
um.host_direct.drains_per_round: 2
um.host_direct.checksum: 0
um.host_direct.expected: -275014048
um.out_host_direct.status: wrong
um.out_host_direct.detail: device checksum disagreed with the host reference
um.out_host_direct.comparable: 0
um.out_host_direct.input_route: copy_staged
um.out_host_direct.out_route: host_direct
um.out_host_direct.mode: rewrite
um.out_host_direct.payload_bytes: 1073741824
um.out_host_direct.alloc_ns: 106000
um.out_host_direct.round0_write_ns: 333455000
um.out_host_direct.round0_publish_ns: 43000
